Client ID,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Subscription Status,WasContactedBefore,PreviouslyContacted,Age Group
32885,technician,married,high.school,no,no,yes,cellular,1,no,0,0,56–65
3170,unknown,married,unknown,unknown,yes,no,telephone,2,no,0,0,56–65
32207,blue-collar,married,basic.9y,no,no,no,cellular,1,no,0,0,26–35
9404,admin.,married,high.school,no,no,no,telephone,4,no,0,0,36–45
14021,housemaid,married,high.school,no,unknown,no,cellular,2,no,0,0,26–35
17202,retired,married,professional.course,no,unknown,yes,cellular,1,no,0,0,56–65
880,services,married,high.school,unknown,yes,no,telephone,1,no,0,0,46–55
10822,entrepreneur,married,university.degree,no,unknown,unknown,telephone,4,no,0,0,16–25
14356,technician,divorced,professional.course,no,yes,yes,cellular,4,no,0,0,36–45
32312,blue-collar,married,basic.9y,no,unknown,no,cellular,3,no,0,0,26–35
31851,blue-collar,single,basic.4y,no,yes,no,cellular,3,no,0,0,36–45
13596,blue-collar,single,basic.9y,no,unknown,no,cellular,1,yes,0,0,36–45
16736,blue-collar,married,basic.4y,no,unknown,yes,cellular,3,no,0,0,56–65
8041,housemaid,married,high.school,no,yes,no,telephone,1,no,0,0,36–45
14065,blue-collar,single,basic.9y,unknown,yes,no,cellular,2,no,0,0,26–35
15508,entrepreneur,single,professional.course,no,unknown,no,cellular,2,no,0,0,36–45
37481,admin.,married,university.degree,no,yes,no,cellular,1,yes,0,0,46–55
17268,retired,married,basic.9y,unknown,unknown,no,cellular,3,yes,0,0,56–65
1671,unemployed,single,professional.course,unknown,unknown,no,telephone,2,no,0,0,46–55
8529,unknown,single,high.school,unknown,unknown,yes,telephone,15,yes,0,0,26–35
15756,admin.,single,high.school,no,unknown,yes,cellular,3,no,0,0,26–35
20771,management,married,high.school,unknown,no,no,cellular,1,no,0,0,46–55
36916,admin.,married,basic.9y,no,unknown,no,telephone,2,no,0,0,46–55
33729,technician,single,high.school,no,yes,no,cellular,12,no,0,0,26–35
22970,admin.,married,university.degree,no,unknown,no,cellular,9,no,0,0,26–35
8926,blue-collar,married,basic.4y,unknown,unknown,no,telephone,1,no,0,0,36–45
145,unknown,divorced,high.school,unknown,unknown,no,telephone,1,no,0,0,36–45
36969,housemaid,married,basic.6y,unknown,unknown,yes,cellular,1,no,0,0,46–55
36563,entrepreneur,married,high.school,no,no,no,cellular,2,yes,0,0,66+
40869,technician,single,university.degree,no,unknown,no,cellular,1,yes,0,0,26–35
