Client ID,Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days,Subscription Status
32885,57 years,technician,married,high.school,no,no,yes,Cell,1,999,no
3170,55 years,unknown,married,unknown,unknown,yes,no,telephone,2,999,no
32207,33 years,blue-collar,married,basic.9y,no,no,no,cellular,1,999,no
9404,36 years,admin.,married,high.school,no,no,no,Telephone,4,999,no
14021,27 years,housemaid,married,high.school,no,,no,Cell,2,999,no
17202,58 years,retired,married,professional.course,no,,yes,Cell,1,999,no
880,48 years,services,married,high.school,unknown,yes,no,Telephone,1,999,no
23758,150 years,admin.,divorced,university.degree,unknown,yes,,Cell,7,999,no
10822,24 years,entrepreneur,married,university.degree,no,,,telephone,4,999,no
14356,36 years,technician,divorced,professional.course,no,yes,yes,Cell,4,999,no
32312,34 years,blue-collar,married,basic.9y,no,,no,Cell,3,999,no
31851,42 years,blue-collar,single,basic.4y,no,yes,no,Cell,3,999,no
13596,43 years,blue-collar,single,basic.9y,no,,no,cellular,1,999,yes
21872,150 years,admin.,married,university.degree,no,no,no,Cell,3,999,yes
16736,58 years,blue-collar,married,basic.4y,no,,yes,cellular,3,999,no
8041,36 years,housemaid,married,high.school,no,yes,no,Telephone,1,999,no
14065,26 years,blue-collar,single,basic.9y,unknown,yes,no,cellular,2,999,no
17689,150 years,technician,married,professional.course,no,,yes,cellular,-11,999,no
15508,37 years,entrepreneur,single,professional.course,no,,no,cellular,2,999,no
37481,46 years,admin.,married,university.degree,no,yes,no,cellular,1,999,yes
17268,59 years,retired,married,basic.9y,unknown,,no,cellular,3,999,yes
1671,49 years,unemployed,single,professional.course,unknown,,no,telephone,2,999,no
8529,26 years,unknown,single,high.school,unknown,,yes,Telephone,15,999,yes
15756,30 years,admin.,single,high.school,no,,yes,Cell,-3,999,no
20771,51 years,management,married,high.school,unknown,no,no,Cell,1,999,no
36916,45 years,admin.,married,basic.9y,no,,no,telephone,2,999,no
33729,30 years,technician,single,high.school,no,yes,no,cellular,12,999,no
22970,31 years,admin.,married,university.degree,no,,no,Cell,9,999,no
8926,41 years,blue-collar,married,basic.4y,unknown,,no,telephone,1,999,no
145,38 years,unknown,divorced,high.school,unknown,,no,Telephone,1,999,no
36969,47 years,housemaid,married,basic.6y,unknown,,yes,cellular,1,999,no
36563,69 years,entrepreneur,married,high.school,no,no,no,cellular,2,999,yes
40869,26 years,technician,single,university.degree,no,,no,cellular,1,999,yes
14051,41 years,self-employed,divorced,professional.course,no,,no,Cell,2,999,yes
10836,36 years,blue-collar,single,high.school,no,,no,telephone,1,999,yes
11043,31 years,services,single,high.school,no,,no,Telephone,2,999,no
23686,33 years,admin.,single,university.degree,no,yes,no,Cell,-1,999,no
24426,33 years,blue-collar,married,basic.9y,no,yes,yes,Cell,1,999,no
8726,30 years,blue-collar,married,basic.6y,no,no,no,telephone,2,999,no
