Client ID,Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days,Subscription Status
32885,57,technician,married,high.school,no,no,yes,cellular,1,999,no
3170,55,unknown,married,unknown,unknown,yes,no,telephone,2,999,no
32207,33,blue-collar,married,basic.9y,no,no,no,cellular,1,999,no
9404,36,admin.,married,high.school,no,no,no,telephone,4,999,no
14021,27,housemaid,married,high.school,no,unknown,no,cellular,2,999,no
17202,58,retired,married,professional.course,no,unknown,yes,cellular,1,999,no
880,48,services,married,high.school,unknown,yes,no,telephone,1,999,no
10822,24,entrepreneur,married,university.degree,no,unknown,unknown,telephone,4,999,no
14356,36,technician,divorced,professional.course,no,yes,yes,cellular,4,999,no
32312,34,blue-collar,married,basic.9y,no,unknown,no,cellular,3,999,no
31851,42,blue-collar,single,basic.4y,no,yes,no,cellular,3,999,no
13596,43,blue-collar,single,basic.9y,no,unknown,no,cellular,1,999,yes
16736,58,blue-collar,married,basic.4y,no,unknown,yes,cellular,3,999,no
8041,36,housemaid,married,high.school,no,yes,no,telephone,1,999,no
14065,26,blue-collar,single,basic.9y,unknown,yes,no,cellular,2,999,no
15508,37,entrepreneur,single,professional.course,no,unknown,no,cellular,2,999,no
37481,46,admin.,married,university.degree,no,yes,no,cellular,1,999,yes
17268,59,retired,married,basic.9y,unknown,unknown,no,cellular,3,999,yes
1671,49,unemployed,single,professional.course,unknown,unknown,no,telephone,2,999,no
8529,26,unknown,single,high.school,unknown,unknown,yes,telephone,15,999,yes
15756,30,admin.,single,high.school,no,unknown,yes,cellular,3,999,no
20771,51,management,married,high.school,unknown,no,no,cellular,1,999,no
36916,45,admin.,married,basic.9y,no,unknown,no,telephone,2,999,no
33729,30,technician,single,high.school,no,yes,no,cellular,12,999,no
22970,31,admin.,married,university.degree,no,unknown,no,cellular,9,999,no
8926,41,blue-collar,married,basic.4y,unknown,unknown,no,telephone,1,999,no
145,38,unknown,divorced,high.school,unknown,unknown,no,telephone,1,999,no
36969,47,housemaid,married,basic.6y,unknown,unknown,yes,cellular,1,999,no
36563,69,entrepreneur,married,high.school,no,no,no,cellular,2,999,yes
40869,26,technician,single,university.degree,no,unknown,no,cellular,1,999,yes
14051,41,self-employed,divorced,professional.course,no,unknown,no,cellular,2,999,yes
10836,36,blue-collar,single,high.school,no,unknown,no,telephone,1,999,yes
11043,31,services,single,high.school,no,unknown,no,telephone,2,999,no
23686,33,admin.,single,university.degree,no,yes,no,cellular,1,999,no
24426,33,blue-collar,married,basic.9y,no,yes,yes,cellular,1,999,no
8726,30,blue-collar,married,basic.6y,no,no,no,telephone,2,999,no
25810,30,management,married,university.degree,no,no,no,cellular,5,999,no
25000,50,entrepreneur,married,basic.9y,no,unknown,no,telephone,1,999,no
12663,38,blue-collar,married,unknown,unknown,unknown,no,cellular,3,999,no
41021,25,student,single,high.school,no,yes,no,cellular,1,3,yes
757,30,services,married,university.degree,no,yes,no,telephone,3,999,no
28063,45,blue-collar,married,basic.4y,unknown,yes,no,cellular,1,999,no
6315,55,retired,married,high.school,no,unknown,no,telephone,5,999,no
12358,45,blue-collar,married,basic.9y,no,yes,no,cellular,1,999,no
12516,39,admin.,married,high.school,no,unknown,no,cellular,1,999,no
23462,44,technician,married,professional.course,no,yes,no,cellular,9,999,no
6109,34,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,999,no
32669,34,technician,married,professional.course,no,unknown,no,cellular,1,999,yes
2465,36,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,999,no
33790,24,admin.,married,basic.9y,no,unknown,no,cellular,1,10,yes
15984,24,admin.,single,high.school,no,yes,no,telephone,3,999,no
12894,37,blue-collar,single,basic.6y,no,unknown,no,cellular,3,999,no
24130,52,technician,divorced,university.degree,no,unknown,no,cellular,1,999,no
27060,31,admin.,single,high.school,no,unknown,no,cellular,1,999,no
39197,41,admin.,divorced,university.degree,no,yes,unknown,cellular,2,6,yes
27102,35,admin.,single,university.degree,no,unknown,no,cellular,1,999,yes
27191,50,admin.,married,university.degree,no,unknown,yes,cellular,2,999,no
3420,45,blue-collar,married,basic.4y,no,unknown,unknown,telephone,3,999,no
40577,33,technician,single,professional.course,no,no,no,cellular,1,999,no
26279,42,management,married,university.degree,no,unknown,no,cellular,2,999,no
38247,77,retired,married,university.degree,no,unknown,yes,cellular,1,999,yes
2991,43,services,single,high.school,unknown,unknown,no,telephone,5,999,no
37778,57,retired,married,university.degree,no,yes,no,cellular,1,999,no
18429,47,admin.,married,high.school,unknown,no,yes,telephone,5,999,no
26096,44,entrepreneur,married,university.degree,no,unknown,no,cellular,2,999,no
32715,51,entrepreneur,married,professional.course,unknown,unknown,no,cellular,1,999,no
18184,36,admin.,married,high.school,no,unknown,no,cellular,13,999,no
217,30,blue-collar,single,unknown,no,unknown,no,telephone,1,999,no
13329,30,admin.,married,university.degree,no,yes,no,telephone,2,999,no
25603,43,services,divorced,high.school,no,unknown,no,cellular,1,999,no
3446,40,blue-collar,single,basic.4y,unknown,unknown,no,telephone,4,999,no
33318,41,management,married,high.school,unknown,yes,unknown,cellular,2,999,no
13283,44,admin.,married,high.school,no,unknown,no,cellular,1,999,no
3271,46,blue-collar,single,basic.4y,no,unknown,no,telephone,2,999,no
34280,31,services,married,high.school,no,yes,no,cellular,1,999,no
34152,56,blue-collar,married,basic.4y,no,unknown,yes,cellular,2,999,no
18144,25,services,single,basic.9y,no,unknown,no,cellular,1,999,no
26518,53,management,married,high.school,no,unknown,no,cellular,1,999,no
27442,40,management,married,high.school,no,unknown,no,cellular,4,999,no
41032,25,student,single,high.school,no,yes,no,cellular,1,6,no
25159,40,admin.,divorced,basic.9y,no,no,no,cellular,1,999,no
26622,31,unemployed,single,professional.course,no,unknown,no,cellular,1,999,no
8232,35,blue-collar,married,basic.9y,no,unknown,no,telephone,4,999,no
28108,44,management,divorced,university.degree,no,yes,no,cellular,1,999,no
11012,42,admin.,married,basic.6y,no,unknown,no,telephone,3,999,no
533,41,blue-collar,married,basic.6y,no,no,no,telephone,1,999,no
11512,60,retired,divorced,university.degree,no,unknown,no,telephone,4,999,no
22237,29,admin.,single,high.school,no,yes,no,cellular,3,999,yes
36853,53,housemaid,married,basic.4y,no,yes,no,cellular,2,999,yes
38579,60,technician,married,basic.4y,no,yes,no,cellular,6,999,no
10647,45,admin.,divorced,university.degree,unknown,unknown,no,telephone,1,999,no
29823,52,entrepreneur,married,basic.9y,no,unknown,yes,telephone,5,999,no
16549,49,self-employed,divorced,university.degree,no,unknown,yes,cellular,2,999,no
28518,45,blue-collar,married,basic.9y,unknown,yes,no,cellular,4,999,no
17076,42,admin.,single,high.school,no,no,yes,cellular,1,999,no
6331,28,management,married,university.degree,no,unknown,unknown,telephone,2,999,no
29676,33,blue-collar,married,high.school,no,no,no,cellular,2,999,no
18295,38,admin.,married,unknown,no,yes,no,cellular,3,999,no
23559,46,technician,married,university.degree,no,yes,no,cellular,14,999,no
7946,54,admin.,married,high.school,unknown,yes,no,telephone,12,999,no
23679,45,technician,divorced,professional.course,no,unknown,no,cellular,1,999,no
11336,38,admin.,married,high.school,no,yes,no,telephone,2,999,no
730,24,technician,single,professional.course,no,unknown,no,telephone,2,999,no
20941,31,technician,married,university.degree,no,unknown,no,cellular,1,999,no
4169,29,technician,married,professional.course,no,yes,no,telephone,42,999,no
