Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Age Group,WasContactedBefore,PreviouslyContacted
retired,married,university.degree,no,unknown,no,cellular,1,66+,0,0
blue-collar,married,basic.9y,no,no,no,cellular,1,26-35,0,0
services,single,high.school,no,yes,no,cellular,1,26-35,0,0
self-employed,single,high.school,no,unknown,no,telephone,1,46-55,0,0
retired,married,professional.course,no,unknown,no,cellular,2,56-65,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,26-35,1,6
admin.,married,high.school,no,unknown,no,cellular,3,36-45,0,0
admin.,married,basic.6y,no,yes,no,telephone,15,56-65,0,0
unemployed,married,professional.course,unknown,yes,yes,cellular,1,46-55,0,0
technician,single,university.degree,no,unknown,no,cellular,12,26-35,0,0
technician,single,university.degree,no,unknown,unknown,cellular,6,26-35,0,0
admin.,married,high.school,unknown,unknown,no,telephone,2,26-35,0,0
technician,married,professional.course,no,no,unknown,cellular,2,26-35,0,0
student,married,high.school,no,unknown,no,telephone,5,26-35,0,0
services,married,high.school,no,unknown,no,cellular,2,36-45,0,0
blue-collar,divorced,unknown,unknown,yes,no,telephone,1,56-65,0,0
admin.,married,high.school,no,no,no,telephone,2,56-65,0,0
housemaid,single,basic.9y,no,unknown,no,cellular,1,26-35,0,0
admin.,single,university.degree,no,unknown,yes,cellular,2,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,1,36-45,0,0
admin.,single,university.degree,no,unknown,no,cellular,2,26-35,0,0
unemployed,married,high.school,no,unknown,no,cellular,7,36-45,0,0
technician,married,professional.course,no,unknown,yes,telephone,1,26-35,0,0
management,divorced,university.degree,no,yes,no,cellular,1,46-55,0,0
services,married,high.school,no,unknown,unknown,cellular,1,26-35,0,0
admin.,single,university.degree,no,unknown,no,cellular,2,26-35,0,0
technician,married,professional.course,no,yes,no,telephone,3,56-65,0,0
blue-collar,married,basic.6y,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.4y,no,yes,no,cellular,2,36-45,0,0
technician,married,university.degree,no,unknown,no,telephone,1,46-55,0,0
admin.,single,university.degree,no,unknown,yes,cellular,5,18-25,1,6
admin.,married,high.school,no,yes,no,cellular,2,26-35,0,0
blue-collar,divorced,basic.6y,unknown,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.9y,no,yes,no,telephone,1,26-35,0,0
retired,married,basic.4y,no,yes,no,telephone,2,66+,0,0
retired,single,university.degree,no,unknown,yes,cellular,3,66+,0,0
retired,married,university.degree,no,no,yes,cellular,1,56-65,0,0
admin.,single,high.school,no,unknown,no,cellular,7,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,2,36-45,0,0
admin.,single,high.school,no,unknown,no,cellular,3,26-35,0,0
admin.,divorced,high.school,no,unknown,no,telephone,2,36-45,0,0
blue-collar,single,high.school,no,unknown,no,telephone,5,26-35,0,0
management,married,university.degree,no,no,no,telephone,1,46-55,0,0
blue-collar,married,high.school,no,unknown,no,telephone,3,26-35,0,0
technician,single,professional.course,unknown,yes,unknown,telephone,1,56-65,0,0
blue-collar,single,basic.6y,unknown,no,no,cellular,1,36-45,0,0
admin.,single,high.school,no,unknown,no,cellular,2,36-45,0,0
blue-collar,single,unknown,unknown,unknown,unknown,cellular,3,18-25,0,0
housemaid,married,basic.4y,no,unknown,no,cellular,1,46-55,0,0
blue-collar,single,high.school,no,unknown,no,cellular,2,26-35,0,0
admin.,married,university.degree,no,no,no,telephone,7,26-35,0,0
blue-collar,divorced,high.school,unknown,unknown,yes,telephone,2,46-55,0,0
technician,divorced,high.school,no,unknown,no,cellular,1,36-45,0,0
self-employed,married,basic.4y,unknown,yes,no,telephone,2,36-45,0,0
technician,single,professional.course,no,unknown,no,cellular,3,26-35,0,0
technician,divorced,professional.course,no,unknown,yes,cellular,2,36-45,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,3,36-45,0,0
