Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Subscription Status,WasContactedBefore,PreviouslyContacted
57,technician,married,high.school,no,no,yes,cellular,1,0,0,0
55,unknown,married,unknown,unknown,yes,no,telephone,2,0,0,0
33,blue-collar,married,basic.9y,no,no,no,cellular,1,0,0,0
36,admin.,married,high.school,no,no,no,telephone,4,0,0,0
27,housemaid,married,high.school,no,unknown,no,cellular,2,0,0,0
58,retired,married,professional.course,no,unknown,yes,cellular,1,0,0,0
48,services,married,high.school,unknown,yes,no,telephone,1,0,0,0
24,entrepreneur,married,university.degree,no,unknown,unknown,telephone,4,0,0,0
36,technician,divorced,professional.course,no,yes,yes,cellular,4,0,0,0
34,blue-collar,married,basic.9y,no,unknown,no,cellular,3,0,0,0
42,blue-collar,single,basic.4y,no,yes,no,cellular,3,0,0,0
43,blue-collar,single,basic.9y,no,unknown,no,cellular,1,1,0,0
58,blue-collar,married,basic.4y,no,unknown,yes,cellular,3,0,0,0
36,housemaid,married,high.school,no,yes,no,telephone,1,0,0,0
26,blue-collar,single,basic.9y,unknown,yes,no,cellular,2,0,0,0
37,entrepreneur,single,professional.course,no,unknown,no,cellular,2,0,0,0
46,admin.,married,university.degree,no,yes,no,cellular,1,1,0,0
59,retired,married,basic.9y,unknown,unknown,no,cellular,3,1,0,0
49,unemployed,single,professional.course,unknown,unknown,no,telephone,2,0,0,0
26,unknown,single,high.school,unknown,unknown,yes,telephone,15,1,0,0
30,admin.,single,high.school,no,unknown,yes,cellular,3,0,0,0
51,management,married,high.school,unknown,no,no,cellular,1,0,0,0
45,admin.,married,basic.9y,no,unknown,no,telephone,2,0,0,0
30,technician,single,high.school,no,yes,no,cellular,12,0,0,0
31,admin.,married,university.degree,no,unknown,no,cellular,9,0,0,0
41,blue-collar,married,basic.4y,unknown,unknown,no,telephone,1,0,0,0
38,unknown,divorced,high.school,unknown,unknown,no,telephone,1,0,0,0
47,housemaid,married,basic.6y,unknown,unknown,yes,cellular,1,0,0,0
69,entrepreneur,married,high.school,no,no,no,cellular,2,1,0,0
26,technician,single,university.degree,no,unknown,no,cellular,1,1,0,0
41,self-employed,divorced,professional.course,no,unknown,no,cellular,2,1,0,0
36,blue-collar,single,high.school,no,unknown,no,telephone,1,1,0,0
31,services,single,high.school,no,unknown,no,telephone,2,0,0,0
33,admin.,single,university.degree,no,yes,no,cellular,1,0,0,0
33,blue-collar,married,basic.9y,no,yes,yes,cellular,1,0,0,0
30,blue-collar,married,basic.6y,no,no,no,telephone,2,0,0,0
30,management,married,university.degree,no,no,no,cellular,5,0,0,0
50,entrepreneur,married,basic.9y,no,unknown,no,telephone,1,0,0,0
38,blue-collar,married,unknown,unknown,unknown,no,cellular,3,0,0,0
25,student,single,high.school,no,yes,no,cellular,1,1,1,3
30,services,married,university.degree,no,yes,no,telephone,3,0,0,0
45,blue-collar,married,basic.4y,unknown,yes,no,cellular,1,0,0,0
55,retired,married,high.school,no,unknown,no,telephone,5,0,0,0
45,blue-collar,married,basic.9y,no,yes,no,cellular,1,0,0,0
39,admin.,married,high.school,no,unknown,no,cellular,1,0,0,0
44,technician,married,professional.course,no,yes,no,cellular,9,0,0,0
34,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,0,0,0
34,technician,married,professional.course,no,unknown,no,cellular,1,1,0,0
36,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,0,0,0
24,admin.,married,basic.9y,no,unknown,no,cellular,1,1,1,10
24,admin.,single,high.school,no,yes,no,telephone,3,0,0,0
37,blue-collar,single,basic.6y,no,unknown,no,cellular,3,0,0,0
52,technician,divorced,university.degree,no,unknown,no,cellular,1,0,0,0
31,admin.,single,high.school,no,unknown,no,cellular,1,0,0,0
41,admin.,divorced,university.degree,no,yes,unknown,cellular,2,1,1,6
35,admin.,single,university.degree,no,unknown,no,cellular,1,1,0,0
50,admin.,married,university.degree,no,unknown,yes,cellular,2,0,0,0
45,blue-collar,married,basic.4y,no,unknown,unknown,telephone,3,0,0,0
33,technician,single,professional.course,no,no,no,cellular,1,0,0,0
42,management,married,university.degree,no,unknown,no,cellular,2,0,0,0
77,retired,married,university.degree,no,unknown,yes,cellular,1,1,0,0
43,services,single,high.school,unknown,unknown,no,telephone,5,0,0,0
57,retired,married,university.degree,no,yes,no,cellular,1,0,0,0
47,admin.,married,high.school,unknown,no,yes,telephone,5,0,0,0
44,entrepreneur,married,university.degree,no,unknown,no,cellular,2,0,0,0
51,entrepreneur,married,professional.course,unknown,unknown,no,cellular,1,0,0,0
36,admin.,married,high.school,no,unknown,no,cellular,13,0,0,0
30,blue-collar,single,unknown,no,unknown,no,telephone,1,0,0,0
30,admin.,married,university.degree,no,yes,no,telephone,2,0,0,0
43,services,divorced,high.school,no,unknown,no,cellular,1,0,0,0
40,blue-collar,single,basic.4y,unknown,unknown,no,telephone,4,0,0,0
41,management,married,high.school,unknown,yes,unknown,cellular,2,0,0,0
44,admin.,married,high.school,no,unknown,no,cellular,1,0,0,0
46,blue-collar,single,basic.4y,no,unknown,no,telephone,2,0,0,0
31,services,married,high.school,no,yes,no,cellular,1,0,0,0
56,blue-collar,married,basic.4y,no,unknown,yes,cellular,2,0,0,0
25,services,single,basic.9y,no,unknown,no,cellular,1,0,0,0
53,management,married,high.school,no,unknown,no,cellular,1,0,0,0
