Threshold,Model,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
0.7,LogReg (SMOTE + balanced),0.8834977699689147,0.47619047619047616,0.2863961813842482,0.35767511177347244,"[[6297, 264], [598, 240]]"
0.7,RandomForest (SMOTE + balanced),0.8928233545073658,0.5767918088737202,0.2016706443914081,0.2988505747126437,"[[6437, 124], [669, 169]]"
0.7,GradientBoosting (SMOTE),0.8934991215029058,0.6157407407407407,0.15871121718377088,0.2523719165085389,"[[6478, 83], [705, 133]]"
0.7,XGBoost (SMOTE),0.891742127314502,0.5822222222222222,0.15632458233890215,0.2464722483537159,"[[6467, 94], [707, 131]]"
0.5,LogReg (SMOTE + balanced),0.6660359508041628,0.1974805483512412,0.636038186157518,0.3013853548204693,"[[4395, 2166], [305, 533]]"
0.5,RandomForest (SMOTE + balanced),0.7903770779835113,0.2532871972318339,0.43675417661097854,0.32063074901445465,"[[5482, 1079], [472, 366]]"
0.5,GradientBoosting (SMOTE),0.8601162319232328,0.36488340192043894,0.31742243436754175,0.3395022335673261,"[[6098, 463], [572, 266]]"
0.5,XGBoost (SMOTE),0.8716042708474118,0.40635451505016723,0.28997613365155134,0.3384401114206128,"[[6206, 355], [595, 243]]"
0.3,LogReg (SMOTE + balanced),0.3891066360318962,0.14376934984520123,0.8866348448687351,0.24741924741924742,"[[2136, 4425], [95, 743]]"
0.3,RandomForest (SMOTE + balanced),0.5546695499391809,0.17161186848436247,0.766109785202864,0.2804105699934484,"[[3462, 3099], [196, 642]]"
0.3,GradientBoosting (SMOTE),0.6822543586971213,0.19992066640222134,0.6014319809069213,0.300089312295326,"[[4544, 2017], [334, 504]]"
0.3,XGBoost (SMOTE),0.7642924719556697,0.23815028901734103,0.4916467780429594,0.32087227414330216,"[[5243, 1318], [426, 412]]"
0.1,LogReg (SMOTE + balanced),0.12880118934991214,0.11494095028838232,0.9988066825775657,0.2061576354679803,"[[116, 6445], [1, 837]]"
0.1,RandomForest (SMOTE + balanced),0.23273415326395458,0.12435957149510946,0.9558472553699284,0.22008517653523835,"[[921, 5640], [37, 801]]"
0.1,GradientBoosting (SMOTE),0.3026084606027842,0.13185689948892676,0.9236276849642004,0.23076923076923078,"[[1465, 5096], [64, 774]]"
0.1,XGBoost (SMOTE),0.44965535883227464,0.15419161676646706,0.860381861575179,0.2615161407326804,"[[2606, 3955], [117, 721]]"
