Client ID,Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days,Subscription Status,WasContactedBefore,PreviouslyContacted,Age Group
32885,57,technician,married,high.school,no,no,yes,cellular,1,999,no,0,0,56–65
3170,55,unknown,married,unknown,unknown,yes,no,telephone,2,999,no,0,0,56–65
32207,33,blue-collar,married,basic.9y,no,no,no,cellular,1,999,no,0,0,26–35
9404,36,admin.,married,high.school,no,no,no,telephone,4,999,no,0,0,36–45
14021,27,housemaid,married,high.school,no,unknown,no,cellular,2,999,no,0,0,26–35
17202,58,retired,married,professional.course,no,unknown,yes,cellular,1,999,no,0,0,56–65
880,48,services,married,high.school,unknown,yes,no,telephone,1,999,no,0,0,46–55
10822,24,entrepreneur,married,university.degree,no,unknown,unknown,telephone,4,999,no,0,0,1–25
14356,36,technician,divorced,professional.course,no,yes,yes,cellular,4,999,no,0,0,36–45
32312,34,blue-collar,married,basic.9y,no,unknown,no,cellular,3,999,no,0,0,26–35
31851,42,blue-collar,single,basic.4y,no,yes,no,cellular,3,999,no,0,0,36–45
13596,43,blue-collar,single,basic.9y,no,unknown,no,cellular,1,999,yes,0,0,36–45
16736,58,blue-collar,married,basic.4y,no,unknown,yes,cellular,3,999,no,0,0,56–65
8041,36,housemaid,married,high.school,no,yes,no,telephone,1,999,no,0,0,36–45
14065,26,blue-collar,single,basic.9y,unknown,yes,no,cellular,2,999,no,0,0,26–35
15508,37,entrepreneur,single,professional.course,no,unknown,no,cellular,2,999,no,0,0,36–45
37481,46,admin.,married,university.degree,no,yes,no,cellular,1,999,yes,0,0,46–55
17268,59,retired,married,basic.9y,unknown,unknown,no,cellular,3,999,yes,0,0,56–65
1671,49,unemployed,single,professional.course,unknown,unknown,no,telephone,2,999,no,0,0,46–55
8529,26,unknown,single,high.school,unknown,unknown,yes,telephone,15,999,yes,0,0,26–35
15756,30,admin.,single,high.school,no,unknown,yes,cellular,3,999,no,0,0,26–35
20771,51,management,married,high.school,unknown,no,no,cellular,1,999,no,0,0,46–55
36916,45,admin.,married,basic.9y,no,unknown,no,telephone,2,999,no,0,0,46–55
33729,30,technician,single,high.school,no,yes,no,cellular,12,999,no,0,0,26–35
22970,31,admin.,married,university.degree,no,unknown,no,cellular,9,999,no,0,0,26–35
8926,41,blue-collar,married,basic.4y,unknown,unknown,no,telephone,1,999,no,0,0,36–45
145,38,unknown,divorced,high.school,unknown,unknown,no,telephone,1,999,no,0,0,36–45
36969,47,housemaid,married,basic.6y,unknown,unknown,yes,cellular,1,999,no,0,0,46–55
36563,69,entrepreneur,married,high.school,no,no,no,cellular,2,999,yes,0,0,66+
40869,26,technician,single,university.degree,no,unknown,no,cellular,1,999,yes,0,0,26–35
14051,41,self-employed,divorced,professional.course,no,unknown,no,cellular,2,999,yes,0,0,36–45
10836,36,blue-collar,single,high.school,no,unknown,no,telephone,1,999,yes,0,0,36–45
11043,31,services,single,high.school,no,unknown,no,telephone,2,999,no,0,0,26–35
23686,33,admin.,single,university.degree,no,yes,no,cellular,1,999,no,0,0,26–35
24426,33,blue-collar,married,basic.9y,no,yes,yes,cellular,1,999,no,0,0,26–35
8726,30,blue-collar,married,basic.6y,no,no,no,telephone,2,999,no,0,0,26–35
25810,30,management,married,university.degree,no,no,no,cellular,5,999,no,0,0,26–35
25000,50,entrepreneur,married,basic.9y,no,unknown,no,telephone,1,999,no,0,0,46–55
12663,38,blue-collar,married,unknown,unknown,unknown,no,cellular,3,999,no,0,0,36–45
41021,25,student,single,high.school,no,yes,no,cellular,1,3,yes,1,3,26–35
757,30,services,married,university.degree,no,yes,no,telephone,3,999,no,0,0,26–35
28063,45,blue-collar,married,basic.4y,unknown,yes,no,cellular,1,999,no,0,0,46–55
6315,55,retired,married,high.school,no,unknown,no,telephone,5,999,no,0,0,56–65
12358,45,blue-collar,married,basic.9y,no,yes,no,cellular,1,999,no,0,0,46–55
12516,39,admin.,married,high.school,no,unknown,no,cellular,1,999,no,0,0,36–45
23462,44,technician,married,professional.course,no,yes,no,cellular,9,999,no,0,0,36–45
6109,34,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,999,no,0,0,26–35
32669,34,technician,married,professional.course,no,unknown,no,cellular,1,999,yes,0,0,26–35
2465,36,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,999,no,0,0,36–45
33790,24,admin.,married,basic.9y,no,unknown,no,cellular,1,10,yes,1,10,1–25
15984,24,admin.,single,high.school,no,yes,no,telephone,3,999,no,0,0,1–25
12894,37,blue-collar,single,basic.6y,no,unknown,no,cellular,3,999,no,0,0,36–45
24130,52,technician,divorced,university.degree,no,unknown,no,cellular,1,999,no,0,0,46–55
27060,31,admin.,single,high.school,no,unknown,no,cellular,1,999,no,0,0,26–35
39197,41,admin.,divorced,university.degree,no,yes,unknown,cellular,2,6,yes,1,6,36–45
27102,35,admin.,single,university.degree,no,unknown,no,cellular,1,999,yes,0,0,36–45
27191,50,admin.,married,university.degree,no,unknown,yes,cellular,2,999,no,0,0,46–55
3420,45,blue-collar,married,basic.4y,no,unknown,unknown,telephone,3,999,no,0,0,46–55
40577,33,technician,single,professional.course,no,no,no,cellular,1,999,no,0,0,26–35
26279,42,management,married,university.degree,no,unknown,no,cellular,2,999,no,0,0,36–45
38247,77,retired,married,university.degree,no,unknown,yes,cellular,1,999,yes,0,0,66+
2991,43,services,single,high.school,unknown,unknown,no,telephone,5,999,no,0,0,36–45
37778,57,retired,married,university.degree,no,yes,no,cellular,1,999,no,0,0,56–65
18429,47,admin.,married,high.school,unknown,no,yes,telephone,5,999,no,0,0,46–55
26096,44,entrepreneur,married,university.degree,no,unknown,no,cellular,2,999,no,0,0,36–45
32715,51,entrepreneur,married,professional.course,unknown,unknown,no,cellular,1,999,no,0,0,46–55
18184,36,admin.,married,high.school,no,unknown,no,cellular,13,999,no,0,0,36–45
217,30,blue-collar,single,unknown,no,unknown,no,telephone,1,999,no,0,0,26–35
13329,30,admin.,married,university.degree,no,yes,no,telephone,2,999,no,0,0,26–35
25603,43,services,divorced,high.school,no,unknown,no,cellular,1,999,no,0,0,36–45
3446,40,blue-collar,single,basic.4y,unknown,unknown,no,telephone,4,999,no,0,0,36–45
33318,41,management,married,high.school,unknown,yes,unknown,cellular,2,999,no,0,0,36–45
13283,44,admin.,married,high.school,no,unknown,no,cellular,1,999,no,0,0,36–45
3271,46,blue-collar,single,basic.4y,no,unknown,no,telephone,2,999,no,0,0,46–55
34280,31,services,married,high.school,no,yes,no,cellular,1,999,no,0,0,26–35
34152,56,blue-collar,married,basic.4y,no,unknown,yes,cellular,2,999,no,0,0,56–65
18144,25,services,single,basic.9y,no,unknown,no,cellular,1,999,no,0,0,26–35
26518,53,management,married,high.school,no,unknown,no,cellular,1,999,no,0,0,46–55
27442,40,management,married,high.school,no,unknown,no,cellular,4,999,no,0,0,36–45
41032,25,student,single,high.school,no,yes,no,cellular,1,6,no,1,6,26–35
25159,40,admin.,divorced,basic.9y,no,no,no,cellular,1,999,no,0,0,36–45
26622,31,unemployed,single,professional.course,no,unknown,no,cellular,1,999,no,0,0,26–35
8232,35,blue-collar,married,basic.9y,no,unknown,no,telephone,4,999,no,0,0,36–45
28108,44,management,divorced,university.degree,no,yes,no,cellular,1,999,no,0,0,36–45
11012,42,admin.,married,basic.6y,no,unknown,no,telephone,3,999,no,0,0,36–45
533,41,blue-collar,married,basic.6y,no,no,no,telephone,1,999,no,0,0,36–45
11512,60,retired,divorced,university.degree,no,unknown,no,telephone,4,999,no,0,0,56–65
22237,29,admin.,single,high.school,no,yes,no,cellular,3,999,yes,0,0,26–35
36853,53,housemaid,married,basic.4y,no,yes,no,cellular,2,999,yes,0,0,46–55
38579,60,technician,married,basic.4y,no,yes,no,cellular,6,999,no,0,0,56–65
10647,45,admin.,divorced,university.degree,unknown,unknown,no,telephone,1,999,no,0,0,46–55
29823,52,entrepreneur,married,basic.9y,no,unknown,yes,telephone,5,999,no,0,0,46–55
16549,49,self-employed,divorced,university.degree,no,unknown,yes,cellular,2,999,no,0,0,46–55
28518,45,blue-collar,married,basic.9y,unknown,yes,no,cellular,4,999,no,0,0,46–55
17076,42,admin.,single,high.school,no,no,yes,cellular,1,999,no,0,0,36–45
6331,28,management,married,university.degree,no,unknown,unknown,telephone,2,999,no,0,0,26–35
29676,33,blue-collar,married,high.school,no,no,no,cellular,2,999,no,0,0,26–35
18295,38,admin.,married,unknown,no,yes,no,cellular,3,999,no,0,0,36–45
23559,46,technician,married,university.degree,no,yes,no,cellular,14,999,no,0,0,46–55
7946,54,admin.,married,high.school,unknown,yes,no,telephone,12,999,no,0,0,46–55
23679,45,technician,divorced,professional.course,no,unknown,no,cellular,1,999,no,0,0,46–55
11336,38,admin.,married,high.school,no,yes,no,telephone,2,999,no,0,0,36–45
730,24,technician,single,professional.course,no,unknown,no,telephone,2,999,no,0,0,1–25
20941,31,technician,married,university.degree,no,unknown,no,cellular,1,999,no,0,0,26–35
4169,29,technician,married,professional.course,no,yes,no,telephone,42,999,no,0,0,26–35
33961,38,housemaid,divorced,university.degree,no,unknown,no,cellular,1,999,no,0,0,36–45
4010,35,admin.,married,university.degree,no,unknown,unknown,telephone,1,999,no,0,0,36–45
22493,54,blue-collar,married,unknown,unknown,unknown,yes,cellular,1,999,no,0,0,46–55
6223,36,services,married,high.school,unknown,no,no,telephone,3,999,no,0,0,36–45
25750,44,services,married,high.school,no,unknown,no,cellular,1,999,no,0,0,36–45
15477,35,technician,married,university.degree,no,unknown,no,cellular,1,999,no,0,0,36–45
10017,32,entrepreneur,married,high.school,unknown,unknown,unknown,telephone,8,999,no,0,0,26–35
29960,53,blue-collar,married,basic.6y,no,unknown,yes,cellular,2,999,no,0,0,46–55
7475,24,technician,single,professional.course,unknown,yes,yes,telephone,1,999,no,0,0,1–25
13545,31,admin.,divorced,high.school,no,unknown,no,cellular,6,999,no,0,0,26–35
22980,44,admin.,married,university.degree,no,unknown,no,cellular,5,999,no,0,0,36–45
13322,28,blue-collar,married,basic.4y,unknown,no,yes,cellular,2,999,no,0,0,26–35
40191,54,admin.,married,university.degree,no,unknown,yes,cellular,5,999,no,0,0,46–55
40820,31,admin.,married,university.degree,no,unknown,no,cellular,2,13,yes,1,13,26–35
6066,45,blue-collar,single,basic.9y,no,no,no,telephone,2,999,no,0,0,46–55
22233,45,technician,single,university.degree,no,no,no,cellular,3,999,no,0,0,46–55
35081,37,admin.,married,high.school,no,yes,no,cellular,6,999,no,0,0,36–45
6913,47,blue-collar,single,basic.9y,no,unknown,no,telephone,1,999,no,0,0,46–55
858,47,blue-collar,married,professional.course,unknown,unknown,no,telephone,1,999,no,0,0,46–55
3291,47,blue-collar,married,basic.9y,unknown,yes,unknown,telephone,4,999,no,0,0,46–55
34534,26,blue-collar,single,basic.9y,no,no,no,cellular,2,999,no,0,0,26–35
14182,38,blue-collar,married,high.school,unknown,no,no,cellular,3,999,no,0,0,36–45
12006,52,technician,married,basic.9y,no,unknown,yes,telephone,3,999,no,0,0,46–55
4560,43,technician,married,unknown,no,unknown,no,telephone,2,999,no,0,0,36–45
22945,59,management,married,university.degree,no,no,no,cellular,2,999,no,0,0,56–65
5988,51,unemployed,married,professional.course,no,unknown,no,telephone,3,999,no,0,0,46–55
11807,29,blue-collar,married,unknown,unknown,no,yes,telephone,5,999,no,0,0,26–35
6246,34,admin.,single,university.degree,no,yes,no,telephone,3,999,no,0,0,26–35
16228,37,student,single,unknown,no,unknown,no,cellular,2,999,no,0,0,36–45
35752,38,admin.,single,high.school,no,no,no,cellular,3,999,no,0,0,36–45
10090,55,self-employed,married,unknown,unknown,unknown,yes,telephone,1,999,no,0,0,56–65
29633,56,services,married,basic.4y,no,yes,yes,cellular,1,999,no,0,0,56–65
37064,42,blue-collar,married,basic.6y,no,unknown,no,cellular,1,999,no,0,0,36–45
31441,34,admin.,married,university.degree,no,unknown,no,telephone,4,999,no,0,0,26–35
37494,81,retired,married,basic.6y,no,unknown,no,cellular,2,4,no,1,4,66+
23251,44,technician,divorced,professional.course,no,unknown,no,cellular,2,999,no,0,0,36–45
26916,30,admin.,married,high.school,no,unknown,no,cellular,2,999,no,0,0,26–35
25577,47,services,married,high.school,no,yes,no,cellular,1,999,no,0,0,46–55
40349,37,technician,single,university.degree,no,unknown,no,cellular,2,999,yes,0,0,36–45
36548,50,admin.,single,basic.9y,no,unknown,unknown,cellular,1,999,yes,0,0,46–55
33719,31,admin.,single,high.school,no,yes,no,cellular,1,999,yes,0,0,26–35
39441,35,admin.,married,university.degree,no,unknown,no,cellular,1,999,yes,0,0,36–45
27130,29,admin.,married,high.school,no,unknown,no,cellular,1,999,no,0,0,26–35
6113,53,self-employed,married,university.degree,no,unknown,yes,telephone,1,999,no,0,0,46–55
10330,29,admin.,single,basic.9y,unknown,unknown,no,telephone,2,999,no,0,0,26–35
4326,45,blue-collar,married,basic.9y,unknown,no,no,telephone,1,999,no,0,0,46–55
24080,39,management,married,university.degree,no,unknown,no,telephone,1,999,yes,0,0,36–45
19566,41,unemployed,divorced,university.degree,unknown,unknown,no,cellular,1,999,no,0,0,36–45
28925,55,admin.,married,basic.4y,no,unknown,no,cellular,1,999,no,0,0,56–65
2386,41,technician,single,professional.course,no,unknown,no,telephone,1,999,no,0,0,36–45
26750,30,services,married,high.school,no,no,unknown,cellular,1,999,no,0,0,26–35
27148,50,blue-collar,divorced,professional.course,no,yes,no,cellular,1,999,no,0,0,46–55
8279,37,management,married,university.degree,no,no,no,telephone,1,999,no,0,0,36–45
14006,35,admin.,married,high.school,no,unknown,no,cellular,2,999,no,0,0,36–45
37331,58,technician,married,professional.course,no,unknown,no,cellular,2,999,yes,0,0,56–65
24136,34,admin.,single,high.school,no,unknown,no,cellular,1,999,no,0,0,26–35
2758,48,blue-collar,married,basic.4y,no,unknown,no,telephone,2,999,no,0,0,46–55
8815,30,technician,single,professional.course,no,unknown,unknown,telephone,1,999,no,0,0,26–35
37796,63,technician,married,unknown,no,yes,no,cellular,1,999,no,0,0,56–65
26143,53,unemployed,married,basic.9y,no,unknown,no,cellular,2,999,no,0,0,46–55
3987,51,blue-collar,married,basic.4y,unknown,yes,unknown,telephone,4,999,no,0,0,46–55
26939,33,management,single,university.degree,no,no,no,cellular,3,999,yes,0,0,26–35
28910,54,entrepreneur,married,basic.9y,no,unknown,yes,cellular,1,999,no,0,0,46–55
9061,39,blue-collar,married,basic.6y,no,unknown,no,telephone,5,999,no,0,0,36–45
40630,27,services,single,high.school,no,unknown,yes,telephone,1,999,no,0,0,26–35
26891,43,technician,married,professional.course,no,no,no,cellular,3,999,no,0,0,36–45
19652,36,admin.,married,high.school,unknown,unknown,no,cellular,3,999,no,0,0,36–45
9268,41,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,999,no,0,0,36–45
28239,39,technician,married,basic.6y,no,no,no,cellular,3,999,no,0,0,36–45
30627,51,unemployed,married,high.school,no,no,no,cellular,5,3,no,1,3,46–55
25838,32,services,married,professional.course,no,unknown,no,cellular,1,999,no,0,0,26–35
24966,47,services,married,high.school,no,yes,no,cellular,1,999,no,0,0,46–55
15573,39,blue-collar,married,basic.9y,no,unknown,yes,telephone,5,999,no,0,0,36–45
18918,52,blue-collar,married,basic.9y,no,unknown,no,cellular,1,999,no,0,0,46–55
7776,38,services,married,high.school,unknown,unknown,unknown,telephone,7,999,no,0,0,36–45
658,56,management,married,university.degree,unknown,unknown,yes,telephone,2,999,no,0,0,56–65
23506,33,services,married,professional.course,no,unknown,no,cellular,5,999,no,0,0,26–35
21273,52,admin.,divorced,university.degree,no,no,no,cellular,2,999,no,0,0,46–55
14241,27,blue-collar,single,basic.9y,no,unknown,unknown,cellular,3,999,no,0,0,26–35
40468,51,blue-collar,married,basic.9y,no,unknown,no,cellular,1,6,yes,1,6,46–55
2831,52,blue-collar,married,basic.4y,unknown,yes,yes,telephone,1,999,no,0,0,46–55
944,55,blue-collar,married,basic.4y,unknown,unknown,no,telephone,2,999,no,0,0,56–65
4216,36,technician,married,professional.course,no,unknown,no,telephone,1,999,no,0,0,36–45
30157,21,admin.,single,high.school,no,unknown,no,cellular,1,999,no,0,0,1–25
23364,46,housemaid,married,basic.4y,no,unknown,yes,cellular,14,999,no,0,0,46–55
24388,33,technician,single,university.degree,no,no,no,cellular,1,999,no,0,0,26–35
14041,22,blue-collar,married,professional.course,no,unknown,unknown,cellular,5,999,no,0,0,1–25
14939,42,technician,married,high.school,unknown,unknown,no,cellular,2,999,no,0,0,36–45
25362,35,services,divorced,basic.9y,no,unknown,yes,cellular,6,999,no,0,0,36–45
26419,38,admin.,married,high.school,no,unknown,unknown,cellular,1,999,no,0,0,36–45
34294,39,services,divorced,high.school,no,no,no,cellular,1,999,no,0,0,36–45
23423,31,technician,single,professional.course,no,yes,no,cellular,3,999,no,0,0,26–35
37636,74,retired,married,basic.9y,no,unknown,no,cellular,1,999,yes,0,0,66+
9702,26,admin.,single,high.school,no,yes,no,telephone,2,999,no,0,0,26–35
15969,55,technician,married,professional.course,unknown,unknown,no,cellular,4,999,no,0,0,56–65
25442,33,admin.,married,university.degree,no,unknown,yes,cellular,3,999,no,0,0,26–35
6883,43,unemployed,married,high.school,no,yes,no,telephone,3,999,no,0,0,36–45
36539,26,technician,single,professional.course,no,yes,no,cellular,1,999,no,0,0,26–35
18393,35,technician,married,professional.course,no,unknown,no,cellular,3,999,no,0,0,36–45
36153,33,admin.,single,university.degree,no,unknown,no,cellular,1,999,yes,0,0,26–35
28782,37,admin.,married,professional.course,no,unknown,yes,cellular,5,999,yes,0,0,36–45
27942,28,admin.,single,high.school,no,no,no,telephone,2,999,yes,0,0,26–35
8202,38,student,single,university.degree,no,unknown,unknown,telephone,1,999,no,0,0,36–45
38616,37,self-employed,married,professional.course,no,yes,yes,cellular,1,5,yes,1,5,36–45
29651,48,retired,divorced,basic.4y,unknown,unknown,no,cellular,3,999,no,0,0,46–55
7761,24,entrepreneur,married,university.degree,unknown,unknown,no,telephone,2,999,no,0,0,1–25
17945,44,blue-collar,single,basic.9y,no,yes,no,telephone,11,999,yes,0,0,36–45
14423,32,admin.,single,university.degree,no,unknown,unknown,cellular,3,999,no,0,0,26–35
25101,45,self-employed,married,basic.4y,no,unknown,unknown,cellular,1,999,no,0,0,46–55
10862,28,technician,single,university.degree,unknown,no,no,telephone,2,999,no,0,0,26–35
37235,54,technician,married,university.degree,no,unknown,no,cellular,1,4,no,1,4,46–55
5383,26,services,single,high.school,no,no,no,telephone,4,999,no,0,0,26–35
35029,32,admin.,divorced,high.school,no,unknown,no,cellular,1,999,no,0,0,26–35
3862,43,blue-collar,divorced,basic.9y,no,unknown,no,telephone,3,999,no,0,0,36–45
34645,37,housemaid,single,high.school,no,yes,no,cellular,2,999,no,0,0,36–45
39221,34,admin.,single,university.degree,no,yes,no,cellular,1,6,yes,1,6,26–35
2762,40,housemaid,divorced,basic.6y,unknown,yes,unknown,telephone,5,999,no,0,0,36–45
3376,28,student,single,basic.4y,no,no,no,telephone,8,999,no,0,0,26–35
13271,32,technician,single,university.degree,no,no,yes,cellular,1,999,no,0,0,26–35
10031,29,services,married,high.school,no,yes,unknown,telephone,2,999,no,0,0,26–35
36045,54,admin.,divorced,professional.course,no,yes,no,cellular,1,999,no,0,0,46–55
33470,35,admin.,single,basic.9y,no,unknown,no,cellular,3,9,no,1,9,36–45
34182,27,self-employed,married,basic.9y,no,yes,no,cellular,2,999,no,0,0,26–35
23076,48,housemaid,married,basic.9y,no,unknown,no,cellular,1,999,no,0,0,46–55
24451,38,entrepreneur,married,high.school,no,unknown,no,cellular,2,999,no,0,0,36–45
41122,46,admin.,single,university.degree,no,unknown,no,cellular,3,999,no,0,0,46–55
31200,34,blue-collar,married,basic.4y,no,unknown,yes,cellular,4,999,no,0,0,26–35
40292,80,retired,divorced,basic.4y,no,no,yes,cellular,2,6,yes,1,6,66+
38160,35,admin.,married,high.school,no,unknown,no,cellular,1,4,no,1,4,36–45
24495,29,admin.,single,university.degree,no,yes,no,cellular,1,999,no,0,0,26–35
16955,38,blue-collar,single,high.school,unknown,no,no,cellular,3,999,no,0,0,36–45
24123,57,management,married,university.degree,no,yes,no,telephone,1,999,no,0,0,56–65
23337,47,admin.,married,university.degree,no,unknown,no,cellular,3,999,no,0,0,46–55
7916,36,technician,married,professional.course,no,unknown,no,telephone,1,999,no,0,0,36–45
37483,62,retired,married,university.degree,unknown,unknown,yes,cellular,2,999,no,0,0,56–65
31679,28,blue-collar,single,high.school,no,no,no,cellular,1,999,no,0,0,26–35
22783,50,housemaid,married,basic.4y,no,no,no,cellular,1,999,no,0,0,46–55
35221,32,technician,single,university.degree,no,no,yes,cellular,2,999,no,0,0,26–35
34067,29,services,single,basic.6y,no,unknown,yes,cellular,5,999,no,0,0,26–35
21100,38,technician,divorced,university.degree,unknown,unknown,no,cellular,3,999,no,0,0,36–45
15639,30,management,single,university.degree,no,unknown,no,telephone,3,999,no,0,0,26–35
38358,36,management,married,basic.4y,no,unknown,no,cellular,2,999,no,0,0,36–45
28020,41,blue-collar,married,basic.4y,unknown,unknown,yes,cellular,1,999,no,0,0,36–45
6137,38,blue-collar,single,basic.9y,no,yes,no,telephone,1,999,no,0,0,36–45
5908,44,technician,married,professional.course,no,yes,no,telephone,3,999,no,0,0,36–45
39823,47,blue-collar,married,basic.9y,no,no,no,cellular,1,999,no,0,0,46–55
19736,51,admin.,divorced,university.degree,no,yes,no,cellular,6,999,no,0,0,46–55
5708,43,entrepreneur,married,high.school,no,yes,yes,telephone,2,999,yes,0,0,36–45
12170,58,management,married,university.degree,no,no,no,telephone,1,999,no,0,0,56–65
11584,42,blue-collar,married,basic.9y,unknown,unknown,no,telephone,2,999,no,0,0,36–45
35931,46,admin.,single,university.degree,no,no,no,cellular,1,999,no,0,0,46–55
6391,39,technician,married,professional.course,no,unknown,unknown,telephone,5,999,no,0,0,36–45
35835,45,admin.,single,university.degree,no,no,no,cellular,1,3,yes,1,3,46–55
23085,55,technician,divorced,university.degree,no,unknown,no,cellular,1,999,no,0,0,56–65
24008,35,management,married,university.degree,no,unknown,no,telephone,1,999,no,0,0,36–45
25768,51,entrepreneur,divorced,university.degree,no,unknown,no,cellular,1,999,no,0,0,46–55
21188,32,admin.,single,university.degree,no,unknown,unknown,cellular,3,999,no,0,0,26–35
10184,41,admin.,married,basic.9y,unknown,unknown,no,telephone,2,999,no,0,0,36–45
16802,54,technician,married,professional.course,unknown,no,yes,cellular,1,999,no,0,0,46–55
1931,40,blue-collar,married,high.school,no,unknown,no,telephone,3,999,no,0,0,36–45
25077,54,management,married,university.degree,no,no,no,cellular,1,999,no,0,0,46–55
5002,37,blue-collar,single,high.school,no,yes,yes,telephone,2,999,no,0,0,36–45
11811,40,housemaid,married,basic.4y,unknown,unknown,no,telephone,4,999,no,0,0,36–45
30359,28,admin.,married,university.degree,no,yes,no,cellular,1,999,no,0,0,26–35
22232,31,management,married,university.degree,no,unknown,yes,cellular,2,999,no,0,0,26–35
3221,45,admin.,married,basic.6y,unknown,unknown,no,telephone,1,999,no,0,0,46–55
14155,40,entrepreneur,married,university.degree,no,unknown,no,cellular,3,999,no,0,0,36–45
31595,32,admin.,married,high.school,no,no,no,cellular,1,999,no,0,0,26–35
30880,39,blue-collar,married,basic.9y,no,unknown,no,cellular,1,999,no,0,0,36–45
40056,35,admin.,married,high.school,no,unknown,no,cellular,2,15,yes,1,15,36–45
3520,29,unemployed,single,university.degree,no,unknown,no,telephone,1,999,no,0,0,26–35
431,43,self-employed,divorced,university.degree,no,unknown,no,telephone,1,999,no,0,0,36–45
30592,56,technician,married,professional.course,no,unknown,yes,cellular,2,999,yes,0,0,56–65
29227,47,admin.,married,university.degree,unknown,yes,yes,cellular,2,999,no,0,0,46–55
12514,47,admin.,married,basic.9y,no,yes,no,cellular,1,999,no,0,0,46–55
39857,35,admin.,single,university.degree,no,unknown,no,cellular,1,14,yes,1,14,36–45
34221,32,management,married,university.degree,no,unknown,yes,cellular,9,999,no,0,0,26–35
17378,44,blue-collar,single,high.school,unknown,unknown,no,cellular,2,999,yes,0,0,36–45
12585,45,technician,married,unknown,unknown,unknown,no,cellular,2,999,no,0,0,46–55
18839,41,technician,married,university.degree,no,unknown,no,cellular,1,999,no,0,0,36–45
18482,38,services,married,high.school,no,unknown,no,telephone,1,999,no,0,0,36–45
1504,44,blue-collar,single,basic.9y,unknown,unknown,no,telephone,2,999,no,0,0,36–45
15918,57,admin.,married,university.degree,no,yes,no,cellular,2,999,no,0,0,56–65
20022,41,technician,divorced,university.degree,no,unknown,yes,cellular,2,999,no,0,0,36–45
13788,41,admin.,married,high.school,no,unknown,unknown,cellular,4,999,no,0,0,36–45
29519,40,technician,married,professional.course,no,unknown,yes,cellular,1,999,no,0,0,36–45
38538,34,unknown,single,university.degree,no,unknown,no,telephone,1,999,no,0,0,26–35
37790,51,admin.,divorced,high.school,no,unknown,no,cellular,1,6,yes,1,6,46–55
26703,39,services,single,university.degree,unknown,unknown,no,cellular,2,999,no,0,0,36–45
31777,34,services,single,high.school,no,unknown,unknown,cellular,1,999,no,0,0,26–35
